audio_path,instrument
all-samples\flute\flute_F5_15_forte_normal.mp3,flute
all-samples\flute\flute_Ds6_05_forte_normal.mp3,flute
all-samples\flute\flute_F4_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_C6_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Cs5_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_D6_025_forte_normal.mp3,flute
all-samples\flute\flute_B5_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Cs4_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_C7_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_F4_025_forte_normal.mp3,flute
all-samples\flute\flute_D7_15_fortissimo_normal.mp3,flute
all-samples\flute\flute_Cs7_1_forte_normal.mp3,flute
all-samples\flute\flute_A6_1_forte_normal.mp3,flute
all-samples\flute\flute_D4_1_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_F6_025_forte_normal.mp3,flute
all-samples\flute\flute_As6_05_piano_normal.mp3,flute
all-samples\flute\flute_Ds6_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_E4_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_C5_15_piano_normal.mp3,flute
all-samples\flute\flute_C6_05_piano_normal.mp3,flute
all-samples\flute\flute_D4_15_forte_normal.mp3,flute
all-samples\flute\flute_As4_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Gs5_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_Gs6_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_A5_phrase_mezzo-forte_triple-tonguing.mp3,flute
all-samples\flute\flute_F6_1_piano_normal.mp3,flute
all-samples\flute\flute_Cs6_phrase_mezzo-forte_tremolo.mp3,flute
all-samples\flute\flute_Ds7_1_piano_normal.mp3,flute
all-samples\flute\flute_D5_025_piano_normal.mp3,flute
all-samples\flute\flute_As6_05_forte_normal.mp3,flute
all-samples\flute\flute_Ds7_025_forte_normal.mp3,flute
all-samples\flute\flute_G4_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_Fs5_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_D7_05_fortissimo_normal.mp3,flute
all-samples\flute\flute_Cs7_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Fs5_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_Cs4_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Gs6_1_piano_normal.mp3,flute
all-samples\flute\flute_C4_1_piano_normal.mp3,flute
all-samples\flute\flute_Gs5_15_piano_normal.mp3,flute
all-samples\flute\flute_A5_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_Ds6_long_piano_normal.mp3,flute
all-samples\flute\flute_Fs6_15_forte_normal.mp3,flute
all-samples\flute\flute_As6_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_A4_very-long_cresc-decresc_normal.mp3,flute
all-samples\flute\flute_A4_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_F4_phrase_mezzo-forte_tongued-slur.mp3,flute
all-samples\flute\flute_As5_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_As5_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_D7_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Cs6_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_As6_025_forte_normal.mp3,flute
all-samples\flute\flute_D4_1_forte_normal.mp3,flute
all-samples\flute\flute_A5_phrase_mezzo-forte_double-tonguing.mp3,flute
all-samples\flute\flute_B5_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Cs5_05_forte_normal.mp3,flute
all-samples\flute\flute_Cs5_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Ds4_025_forte_normal.mp3,flute
all-samples\flute\flute_C6_05_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_B4_05_piano_normal.mp3,flute
all-samples\flute\flute_A5_1_piano_normal.mp3,flute
all-samples\flute\flute_Cs6_025_piano_normal.mp3,flute
all-samples\flute\flute_As4_05_piano_normal.mp3,flute
all-samples\flute\flute_D4_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_D5_1_piano_normal.mp3,flute
all-samples\flute\flute_D5_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_F6_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_Ds5_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_E6_05_piano_normal.mp3,flute
all-samples\flute\flute_Cs6_15_piano_normal.mp3,flute
all-samples\flute\flute_D6_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_C5_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_C5_1_forte_normal.mp3,flute
all-samples\flute\flute_B5_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_Cs6_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_G5_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Cs4_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_Ds5_15_forte_normal.mp3,flute
all-samples\flute\flute_Ds4_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_As5_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_Gs6_15_forte_normal.mp3,flute
all-samples\flute\flute_B4_1_piano_normal.mp3,flute
all-samples\flute\flute_Ds4_1_piano_normal.mp3,flute
all-samples\flute\flute_D6_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_C7_05_forte_normal.mp3,flute
all-samples\flute\flute_C4_15_piano_normal.mp3,flute
all-samples\flute\flute_B4_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_F5_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Gs6_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_As4_15_mezzo-forte_tremolo.mp3,flute
all-samples\flute\flute_D4_15_piano_normal.mp3,flute
all-samples\flute\flute_G4_phrase_mezzo-forte_legato.mp3,flute
all-samples\flute\flute_F6_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_Ds4_025_piano_normal.mp3,flute
all-samples\flute\flute_E4_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_As4_long_mezzo-forte_tremolo.mp3,flute
all-samples\flute\flute_G4_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_E5_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_G6_025_piano_normal.mp3,flute
all-samples\flute\flute_Cs7_025_piano_normal.mp3,flute
all-samples\flute\flute_C4_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_B5_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_F4_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_E6_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_E4_05_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_C6_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_B4_1_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_F4_05_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_A6_05_piano_normal.mp3,flute
all-samples\flute\flute_D6_phrase_mezzo-forte_double-tonguing.mp3,flute
all-samples\flute\flute_Cs6_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_F5_1_forte_normal.mp3,flute
all-samples\flute\flute_G4_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_Ds6_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_F4_phrase_mezzo-forte_fluttertonguing.mp3,flute
all-samples\flute\flute_A5_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_C4_phrase_mezzo-forte_tongued-slur.mp3,flute
all-samples\flute\flute_B6_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_Fs4_15_forte_normal.mp3,flute
all-samples\flute\flute_Cs6_15_forte_normal.mp3,flute
all-samples\flute\flute_D4_05_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_D4_05_piano_normal.mp3,flute
all-samples\flute\flute_Cs7_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_E6_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_C6_very-long_cresc-decresc_normal.mp3,flute
all-samples\flute\flute_Fs5_05_forte_normal.mp3,flute
all-samples\flute\flute_Gs6_05_forte_normal.mp3,flute
all-samples\flute\flute_C6_15_forte_normal.mp3,flute
all-samples\flute\flute_G5_phrase_mezzo-forte_legato.mp3,flute
all-samples\flute\flute_Ds5_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_E4_05_piano_normal.mp3,flute
all-samples\flute\flute_A4_phrase_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Fs4_05_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_As4_1_piano_normal.mp3,flute
all-samples\flute\flute_Cs4_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Ds4_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_F4_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Ds5_very-long_cresc-decresc_normal.mp3,flute
all-samples\flute\flute_C6_05_forte_normal.mp3,flute
all-samples\flute\flute_Cs4_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_C5_025_forte_normal.mp3,flute
all-samples\flute\flute_B5_025_piano_normal.mp3,flute
all-samples\flute\flute_D5_15_piano_normal.mp3,flute
all-samples\flute\flute_F4_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_B6_025_forte_normal.mp3,flute
all-samples\flute\flute_F6_05_forte_normal.mp3,flute
all-samples\flute\flute_G6_05_forte_normal.mp3,flute
all-samples\flute\flute_Fs5_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_G5_1_piano_normal.mp3,flute
all-samples\flute\flute_E7_1_piano_normal.mp3,flute
all-samples\flute\flute_Fs5_1_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Cs4_025_piano_normal.mp3,flute
all-samples\flute\flute_As4_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_Fs6_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Ds5_1_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_D7_15_forte_normal.mp3,flute
all-samples\flute\flute_Gs4_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_A4_15_piano_normal.mp3,flute
all-samples\flute\flute_Ds5_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_G5_025_forte_normal.mp3,flute
all-samples\flute\flute_C6_long_piano_normal.mp3,flute
all-samples\flute\flute_D6_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_Ds5_long_piano_normal.mp3,flute
all-samples\flute\flute_Fs5_025_piano_normal.mp3,flute
all-samples\flute\flute_D5_phrase_mezzo-forte_double-tonguing.mp3,flute
all-samples\flute\flute_Cs7_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_Ds6_15_piano_normal.mp3,flute
all-samples\flute\flute_A6_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_Fs4_1_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Cs6_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_G4_1_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_C4_025_piano_normal.mp3,flute
all-samples\flute\flute_A5_025_forte_normal.mp3,flute
all-samples\flute\flute_C5_05_forte_normal.mp3,flute
all-samples\flute\flute_C5_15_forte_normal.mp3,flute
all-samples\flute\flute_Cs5_025_forte_normal.mp3,flute
all-samples\flute\flute_Cs7_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Ds4_1_forte_normal.mp3,flute
all-samples\flute\flute_C4_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_C5_025_piano_normal.mp3,flute
all-samples\flute\flute_Ds5_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_A5_1_forte_normal.mp3,flute
all-samples\flute\flute_D5_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_As5_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Gs5_05_forte_normal.mp3,flute
all-samples\flute\flute_Gs4_05_forte_normal.mp3,flute
all-samples\flute\flute_Gs4_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_D6_05_forte_normal.mp3,flute
all-samples\flute\flute_Cs6_05_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_B6_05_piano_normal.mp3,flute
all-samples\flute\flute_A5_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_D6_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_B6_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_B5_15_forte_normal.mp3,flute
all-samples\flute\flute_Fs4_025_piano_normal.mp3,flute
all-samples\flute\flute_F6_05_piano_normal.mp3,flute
all-samples\flute\flute_Fs4_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Fs5_1_forte_normal.mp3,flute
all-samples\flute\flute_As5_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Fs4_1_forte_normal.mp3,flute
all-samples\flute\flute_G5_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Cs7_1_fortissimo_major-trill.mp3,flute
all-samples\flute\flute_F4_phrase_mezzo-forte_tenuto.mp3,flute
all-samples\flute\flute_D4_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_Cs5_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_A5_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_As6_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_D6_phrase_mezzo-forte_triple-tonguing.mp3,flute
all-samples\flute\flute_B4_1_forte_normal.mp3,flute
all-samples\flute\flute_E7_05_piano_normal.mp3,flute
all-samples\flute\flute_A5_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_B4_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_G4_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_G5_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_F4_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_D6_phrase_mezzo-forte_staccato.mp3,flute
all-samples\flute\flute_D7_15_piano_normal.mp3,flute
all-samples\flute\flute_G5_phrase_mezzo-forte_tenuto.mp3,flute
all-samples\flute\flute_C6_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_As6_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Cs6_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_G6_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_A5_long_mezzo-forte_minor-trill.mp3,flute
all-samples\flute\flute_C7_05_piano_normal.mp3,flute
all-samples\flute\flute_F6_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_As4_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_A5_phrase_mezzo-forte_tenuto.mp3,flute
all-samples\flute\flute_Gs4_15_piano_normal.mp3,flute
all-samples\flute\flute_G5_long_piano_normal.mp3,flute
all-samples\flute\flute_Ds6_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_E6_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_C4_1_forte_normal.mp3,flute
all-samples\flute\flute_Cs6_long_piano_normal.mp3,flute
all-samples\flute\flute_C4_phrase_mezzo-forte_fluttertonguing.mp3,flute
all-samples\flute\flute_C7_1_forte_normal.mp3,flute
all-samples\flute\flute_C7_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_B5_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_Gs4_15_pianissimo_normal.mp3,flute
all-samples\flute\flute_As5_15_forte_normal.mp3,flute
all-samples\flute\flute_As5_1_piano_normal.mp3,flute
all-samples\flute\flute_C6_1_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_B4_025_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_As5_05_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_Cs4_15_piano_normal.mp3,flute
all-samples\flute\flute_G4_025_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_A4_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_Gs4_1_forte_normal.mp3,flute
all-samples\flute\flute_Cs4_1_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_E4_very-long_forte_normal.mp3,flute
all-samples\flute\flute_G4_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_F5_15_mezzo-piano_normal.mp3,flute
all-samples\flute\flute_C7_1_piano_normal.mp3,flute
all-samples\flute\flute_D4_05_pianissimo_normal.mp3,flute
all-samples\flute\flute_C5_phrase_mezzo-forte_staccatissimo.mp3,flute
all-samples\flute\flute_G6_05_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_Cs7_05_forte_normal.mp3,flute
all-samples\flute\flute_Fs6_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_F4_1_forte_normal.mp3,flute
all-samples\flute\flute_Ds6_1_pianissimo_normal.mp3,flute
all-samples\flute\flute_F7_1_forte_normal.mp3,flute
all-samples\flute\flute_E4_1_forte_normal.mp3,flute
all-samples\flute\flute_A6_long_piano_normal.mp3,flute
all-samples\flute\flute_As5_025_pianissimo_normal.mp3,flute
all-samples\flute\flute_E5_1_piano_normal.mp3,flute
all-samples\flute\flute_Gs6_15_mezzo-forte_normal.mp3,flute
all-samples\flute\flute_A4_05_piano_normal.mp3,flute
all-samples\flute\flute_A6_long_mezzo-forte_minor-trill.mp3,flute
all-samples\clarinet\clarinet_E3_phrase_mezzo-forte_fluttertonguing.mp3,clarinet
all-samples\clarinet\clarinet_D4_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds6_025_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_G5_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_B6_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_E4_025_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_B5_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs3_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs5_long_mezzo-forte_minor-trill.mp3,clarinet
all-samples\clarinet\clarinet_F5_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs6_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_D3_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_E5_05_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_A6_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Cs6_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs3_very-long_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_G5_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs5_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_C6_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_G3_phrase_mezzo-forte_staccatissimo.mp3,clarinet
all-samples\clarinet\clarinet_D4_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_F6_15_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_C6_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As3_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds3_15_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_D5_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_G6_025_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs5_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_A3_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_G6_15_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_E3_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_B4_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Cs6_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs6_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_B5_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_E4_phrase_mezzo-forte_fluttertonguing.mp3,clarinet
all-samples\clarinet\clarinet_As4_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs4_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As3_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_A5_15_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_C4_025_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_E5_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds4_025_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_F6_025_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs6_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs3_025_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs3_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As3_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_G6_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_C5_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_E5_phrase_mezzo-forte_fluttertonguing.mp3,clarinet
all-samples\clarinet\clarinet_B5_long_mezzo-forte_major-trill.mp3,clarinet
all-samples\clarinet\clarinet_Gs4_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_D6_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As6_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs5_05_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds6_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As4_05_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs4_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_E4_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_G5_05_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_A6_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As5_very-long_cresc-decresc_normal.mp3,clarinet
all-samples\clarinet\clarinet_F4_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_As5_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_D5_long_mezzo-forte_minor-trill.mp3,clarinet
all-samples\clarinet\clarinet_A5_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_A3_05_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_B3_long_mezzo-forte_major-trill.mp3,clarinet
all-samples\clarinet\clarinet_B6_15_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_B4_phrase_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds4_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_E4_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_E6_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_F4_15_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Cs5_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds4_15_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_D5_very-long_cresc-decresc_normal.mp3,clarinet
all-samples\clarinet\clarinet_G6_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_D4_1_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_As4_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_F3_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs4_1_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_F3_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_D4_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_G3_phrase_mezzo-forte_nonlegato.mp3,clarinet
all-samples\clarinet\clarinet_F3_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_B5_long_mezzo-forte_minor-trill.mp3,clarinet
all-samples\clarinet\clarinet_B6_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_As6_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As4_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs6_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Cs5_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_D4_025_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_A4_025_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_F4_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_D3_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_E6_025_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_B4_long_mezzo-forte_minor-trill.mp3,clarinet
all-samples\clarinet\clarinet_As4_05_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_F6_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_B4_phrase_mezzo-forte_nonlegato.mp3,clarinet
all-samples\clarinet\clarinet_G3_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs5_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs4_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs3_025_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_F4_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_C4_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As6_15_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_C4_05_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_F6_15_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_C7_05_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs6_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_D6_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Cs4_025_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_F5_phrase_mezzo-forte_fluttertonguing.mp3,clarinet
all-samples\clarinet\clarinet_E5_1_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_C7_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs3_long_mezzo-forte_minor-trill.mp3,clarinet
all-samples\clarinet\clarinet_D3_very-long_cresc-decresc_normal.mp3,clarinet
all-samples\clarinet\clarinet_As6_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds3_1_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_Fs3_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_B6_05_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_G5_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_C4_1_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_As6_15_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_C5_025_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_Ds5_15_pianissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_A3_phrase_mezzo-forte_nonlegato.mp3,clarinet
all-samples\clarinet\clarinet_As5_05_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_A4_phrase_mezzo-forte_nonlegato.mp3,clarinet
all-samples\clarinet\clarinet_D5_05_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_F6_long_mezzo-forte_major-trill.mp3,clarinet
all-samples\clarinet\clarinet_Cs4_05_forte_normal.mp3,clarinet
all-samples\clarinet\clarinet_Gs4_15_piano_normal.mp3,clarinet
all-samples\clarinet\clarinet_E5_025_fortissimo_normal.mp3,clarinet
all-samples\clarinet\clarinet_A5_025_piano_normal.mp3,clarinet
